"Date","Date_YMD","Status","OR","Cumulative"
"14-Mar-20","3/14/2020","Confirmed","0","0"
"15-Mar-20","3/15/2020","Confirmed","0","0"
"16-Mar-20","3/16/2020","Confirmed","1","1"
"17-Mar-20","3/17/2020","Confirmed","0","1"
"18-Mar-20","3/18/2020","Confirmed","1","2"
"19-Mar-20","3/19/2020","Confirmed","0","2"
"20-Mar-20","3/20/2020","Confirmed","0","2"
"21-Mar-20","3/21/2020","Confirmed","0","2"
"22-Mar-20","3/22/2020","Confirmed","0","2"
"23-Mar-20","3/23/2020","Confirmed","0","2"
"24-Mar-20","3/24/2020","Confirmed","0","2"
"25-Mar-20","3/25/2020","Confirmed","0","2"
"26-Mar-20","3/26/2020","Confirmed","1","3"
"27-Mar-20","3/27/2020","Confirmed","0","3"
"28-Mar-20","3/28/2020","Confirmed","0","3"
"29-Mar-20","3/29/2020","Confirmed","0","3"
"30-Mar-20","3/30/2020","Confirmed","0","3"
"31-Mar-20","3/31/2020","Confirmed","1","4"
"1-Apr-20","4/1/2020","Confirmed","1","5"
"2-Apr-20","4/2/2020","Confirmed","0","5"
"3-Apr-20","4/3/2020","Confirmed","15","20"
"4-Apr-20","4/4/2020","Confirmed","1","21"
"5-Apr-20","4/5/2020","Confirmed","18","39"
"6-Apr-20","4/6/2020","Confirmed","1","40"
"7-Apr-20","4/7/2020","Confirmed","2","42"
"8-Apr-20","4/8/2020","Confirmed","0","42"
"9-Apr-20","4/9/2020","Confirmed","6","48"
"10-Apr-20","4/10/2020","Confirmed","2","50"
"11-Apr-20","4/11/2020","Confirmed","4","54"
"12-Apr-20","4/12/2020","Confirmed","0","54"
"13-Apr-20","4/13/2020","Confirmed","1","55"
"14-Apr-20","4/14/2020","Confirmed","5","60"
"15-Apr-20","4/15/2020","Confirmed","0","60"
"16-Apr-20","4/16/2020","Confirmed","0","60"
"17-Apr-20","4/17/2020","Confirmed","0","60"
"18-Apr-20","4/18/2020","Confirmed","1","61"
"19-Apr-20","4/19/2020","Confirmed","0","61"
"20-Apr-20","4/20/2020","Confirmed","13","74"
"21-Apr-20","4/21/2020","Confirmed","5","79"
"22-Apr-20","4/22/2020","Confirmed","4","83"
"23-Apr-20","4/23/2020","Confirmed","6","89"
"24-Apr-20","4/24/2020","Confirmed","5","94"
"25-Apr-20","4/25/2020","Confirmed","6","100"
"26-Apr-20","4/26/2020","Confirmed","3","103"
"27-Apr-20","4/27/2020","Confirmed","15","118"
"28-Apr-20","4/28/2020","Confirmed","0","118"
"29-Apr-20","4/29/2020","Confirmed","7","125"
"30-Apr-20","4/30/2020","Confirmed","18","143"
"1-May-20","5/1/2020","Confirmed","11","154"
"2-May-20","5/2/2020","Confirmed","6","160"
"3-May-20","5/3/2020","Confirmed","2","162"
"4-May-20","5/4/2020","Confirmed","7","169"
"5-May-20","5/5/2020","Confirmed","8","177"
"6-May-20","5/6/2020","Confirmed","28","205"
"7-May-20","5/7/2020","Confirmed","14","219"
"8-May-20","5/8/2020","Confirmed","51","270"
"9-May-20","5/9/2020","Confirmed","82","352"
"10-May-20","5/10/2020","Confirmed","25","377"
"11-May-20","5/11/2020","Confirmed","38","415"
"12-May-20","5/12/2020","Confirmed","22","437"
"13-May-20","5/13/2020","Confirmed","101","538"
"14-May-20","5/14/2020","Confirmed","134","672"
"15-May-20","5/15/2020","Confirmed","65","737"
"16-May-20","5/16/2020","Confirmed","0","737"
"17-May-20","5/17/2020","Confirmed","91","828"
"18-May-20","5/18/2020","Confirmed","48","876"
"19-May-20","5/19/2020","Confirmed","102","978"
"20-May-20","5/20/2020","Confirmed","74","1052"
"21-May-20","5/21/2020","Confirmed","51","1103"
"22-May-20","5/22/2020","Confirmed","86","1189"
"23-May-20","5/23/2020","Confirmed","80","1269"
"24-May-20","5/24/2020","Confirmed","67","1336"
"25-May-20","5/25/2020","Confirmed","102","1438"
"26-May-20","5/26/2020","Confirmed","79","1517"
"27-May-20","5/27/2020","Confirmed","76","1593"
"28-May-20","5/28/2020","Confirmed","67","1660"
"29-May-20","5/29/2020","Confirmed","63","1723"
"30-May-20","5/30/2020","Confirmed","96","1819"
"31-May-20","5/31/2020","Confirmed","129","1948"
"1-Jun-20","6/1/2020","Confirmed","156","2104"
"2-Jun-20","6/2/2020","Confirmed","141","2245"
"3-Jun-20","6/3/2020","Confirmed","143","2388"
"4-Jun-20","6/4/2020","Confirmed","90","2478"
"5-Jun-20","6/5/2020","Confirmed","130","2608"
"6-Jun-20","6/6/2020","Confirmed","173","2781"
"7-Jun-20","6/7/2020","Confirmed","75","2856"
"8-Jun-20","6/8/2020","Confirmed","138","2994"
"9-Jun-20","6/9/2020","Confirmed","146","3140"
"10-Jun-20","6/10/2020","Confirmed","110","3250"
"11-Jun-20","6/11/2020","Confirmed","136","3386"
"12-Jun-20","6/12/2020","Confirmed","112","3498"
"13-Jun-20","6/13/2020","Confirmed","225","3723"
"14-Jun-20","6/14/2020","Confirmed","186","3909"
"15-Jun-20","6/15/2020","Confirmed","146","4055"
"16-Jun-20","6/16/2020","Confirmed","108","4163"
"17-Jun-20","6/17/2020","Confirmed","175","4338"
"18-Jun-20","6/18/2020","Confirmed","174","4512"
"19-Jun-20","6/19/2020","Confirmed","165","4677"
"20-Jun-20","6/20/2020","Confirmed","179","4856"
"21-Jun-20","6/21/2020","Confirmed","304","5160"
"22-Jun-20","6/22/2020","Confirmed","143","5303"
"23-Jun-20","6/23/2020","Confirmed","167","5470"
"24-Jun-20","6/24/2020","Confirmed","282","5752"
"25-Jun-20","6/25/2020","Confirmed","210","5962"
"26-Jun-20","6/26/2020","Confirmed","218","6180"
"27-Jun-20","6/27/2020","Confirmed","170","6350"
"28-Jun-20","6/28/2020","Confirmed","264","6614"
"29-Jun-20","6/29/2020","Confirmed","245","6859"
"30-Jun-20","6/30/2020","Confirmed","206","7065"
"1-Jul-20","7/1/2020","Confirmed","251","7316"
"2-Jul-20","7/2/2020","Confirmed","229","7545"
"3-Jul-20","7/3/2020","Confirmed","561","8106"
"4-Jul-20","7/4/2020","Confirmed","495","8601"
"5-Jul-20","7/5/2020","Confirmed","469","9070"
"6-Jul-20","7/6/2020","Confirmed","456","9526"
"7-Jul-20","7/7/2020","Confirmed","571","10097"
"8-Jul-20","7/8/2020","Confirmed","527","10624"
"9-Jul-20","7/9/2020","Confirmed","577","11201"
"10-Jul-20","7/10/2020","Confirmed","755","11956"
"11-Jul-20","7/11/2020","Confirmed","570","12526"
"12-Jul-20","7/12/2020","Confirmed","595","13121"
"13-Jul-20","7/13/2020","Confirmed","616","13737"
"14-Jul-20","7/14/2020","Confirmed","543","14280"
"15-Jul-20","7/15/2020","Confirmed","618","14898"
"16-Jul-20","7/16/2020","Confirmed","494","15392"
"17-Jul-20","7/17/2020","Confirmed","718","16110"
"18-Jul-20","7/18/2020","Confirmed","591","16701"
"19-Jul-20","7/19/2020","Confirmed","736","17437"
"20-Jul-20","7/20/2020","Confirmed","673","18110"
"21-Jul-20","7/21/2020","Confirmed","647","18757"
"22-Jul-20","7/22/2020","Confirmed","1078","19835"
"23-Jul-20","7/23/2020","Confirmed","1264","21099"
"24-Jul-20","7/24/2020","Confirmed","1594","22693"
"25-Jul-20","7/25/2020","Confirmed","1320","24013"
"26-Jul-20","7/26/2020","Confirmed","1376","25389"
"27-Jul-20","7/27/2020","Confirmed","1503","26892"
"28-Jul-20","7/28/2020","Confirmed","1215","28107"
"29-Jul-20","7/29/2020","Confirmed","1068","29175"
"30-Jul-20","7/30/2020","Confirmed","1203","30378"
"31-Jul-20","7/31/2020","Confirmed","1499","31877"
"1-Aug-20","8/1/2020","Confirmed","1602","33479"
"2-Aug-20","8/2/2020","Confirmed","1434","34913"
"3-Aug-20","8/3/2020","Confirmed","1384","36297"
"4-Aug-20","8/4/2020","Confirmed","1384","37681"
"5-Aug-20","8/5/2020","Confirmed","1337","39018"
"6-Aug-20","8/6/2020","Confirmed","1699","40717"
"7-Aug-20","8/7/2020","Confirmed","1833","42550"
"8-Aug-20","8/8/2020","Confirmed","1643","44193"
"9-Aug-20","8/9/2020","Confirmed","1734","45927"
"10-Aug-20","8/10/2020","Confirmed","1528","47455"
"11-Aug-20","8/11/2020","Confirmed","1341","48796"
"12-Aug-20","8/12/2020","Confirmed","1876","50672"
"13-Aug-20","8/13/2020","Confirmed","1981","52653"
"14-Aug-20","8/14/2020","Confirmed","1977","54630"
"15-Aug-20","8/15/2020","Confirmed","2496","57126"
"16-Aug-20","8/16/2020","Confirmed","2924","60050"
"17-Aug-20","8/17/2020","Confirmed","2244","62294"
"18-Aug-20","8/18/2020","Confirmed","2239","64533"
"19-Aug-20","8/19/2020","Confirmed","2589","67122"
"20-Aug-20","8/20/2020","Confirmed","2898","70020"
"21-Aug-20","8/21/2020","Confirmed","2698","72718"
"22-Aug-20","8/22/2020","Confirmed","2819","75537"
"23-Aug-20","8/23/2020","Confirmed","2993","78530"
"24-Aug-20","8/24/2020","Confirmed","2949","81479"
"25-Aug-20","8/25/2020","Confirmed","2752","84231"
"26-Aug-20","8/26/2020","Confirmed","3371","87602"
"27-Aug-20","8/27/2020","Confirmed","3384","90986"
"28-Aug-20","8/28/2020","Confirmed","3682","94668"
"29-Aug-20","8/29/2020","Confirmed","3252","97920"
"30-Aug-20","8/30/2020","Confirmed","3014","100934"
"31-Aug-20","8/31/2020","Confirmed","2602","103536"
"1-Sep-20","9/1/2020","Confirmed","3025","106561"
"2-Sep-20","9/2/2020","Confirmed","3219","109780"
"3-Sep-20","9/3/2020","Confirmed","3631","113411"
"4-Sep-20","9/4/2020","Confirmed","3267","116678"
"5-Sep-20","9/5/2020","Confirmed","3543","120221"
"6-Sep-20","9/6/2020","Confirmed","3810","124031"
"7-Sep-20","9/7/2020","Confirmed","3861","127892"
"8-Sep-20","9/8/2020","Confirmed","3490","131382"
"9-Sep-20","9/9/2020","Confirmed","3748","135130"
"10-Sep-20","9/10/2020","Confirmed","3991","139121"
"11-Sep-20","9/11/2020","Confirmed","3996","143117"
"12-Sep-20","9/12/2020","Confirmed","3777","146894"
